Term,Count,STM ID,Status,Example Object
Plantage Accaribo,123,,Missing Data,NG-2009-37
Gouvernementsplein,60,,Missing Data,NG-412
Nederland,57,,Missing Data,RP-F-F00695
Waterkant,56,,Missing Data,RP-F-F24823
Plantage Clevia,51,,Missing Data,NG-2009-125
Maäbo Heuvel,45,,Missing Data,RP-F-F01203-G
Plantage Morgenstond,45,,Missing Data,NG-2009-125
Oranjestraat,42,,Missing Data,NG-2009-130-2
Patrick Savanna,32,,Missing Data,NG-1994-65-1-24-3
Plantage Peperpot,32,,Missing Data,NG-1994-65-4-3-1
Heiligenweg,31,,Missing Data,NG-1994-65-1-7-3
Knuffelsgracht,31,,Missing Data,NG-1994-65-1-32-4
Gouvernementspaleis,29,,Missing Data,RP-F-1994-16-22
Mariënburg (Suriname),27,,Missing Data,RP-F-BR-2011-1-12
Heerenstraat (Paramaribo),26,,Missing Data,NG-2009-39-90
Het Park,26,,Missing Data,NG-1994-65-2-18-1
Zwitserland,24,,Missing Data,RP-F-F01154
Plantage Mariënburg,22,,Missing Data,RP-F-1994-16-6
Saramaccastraat,20,,Missing Data,NG-1994-65-1-46-2
Gravenstraat (Paramaribo),19,,Missing Data,NG-2009-130-3
Palmentuin,17,,Missing Data,NG-2009-39-86
's-Landsgrond Boniface,17,,Missing Data,NG-1994-65-3-2-1
Combé,15,,Missing Data,NG-1994-65-1-30-2
Cultuurtuin,15,,Missing Data,NG-1994-65-5-2-3
Kerkplein (Paramaribo),14,,Missing Data,NG-1994-65-3-42-1
Koeliedepot,14,,Missing Data,NG-1994-65-4-8-2
Plantage Nijd en Spijt,13,,Missing Data,NG-2009-126
Plantage Dordrecht,13,,Missing Data,RP-F-2010-75
Grote Combéweg,12,,Missing Data,RP-F-1994-16-21
Madeira,12,,Missing Data,RP-F-F01203
Nederlandse Antillen,12,,Missing Data,NG-1064
Vitznau,12,,Missing Data,NG-2009-124-1-1
Kwakoegron,11,,Missing Data,RP-F-F01203-I
Stoelmanseiland,10,,Missing Data,RP-F-2009-221
Pikin Slee,10,,Missing Data,RP-F-2013-91-1
's Lands Hospitaal,9,,Missing Data,NG-2009-36
Plantage Rust en Werk,9,,Missing Data,NG-2009-39-117
Vaillantsplein,9,,Missing Data,RP-F-F01203-CU
Curaçao,8,,Missing Data,NG-2005-19-20
Berlijn (Suriname),8,,Missing Data,NG-1994-65-1-13-4
Montana Mijn,8,,Missing Data,NG-1994-65-1-24-1
Republiek (Suriname),7,,Missing Data,NG-2009-132-36
Miendrienetie Kreek,7,,Missing Data,NG-2009-131-3
Watermolenstraat,7,,Missing Data,NG-1994-65-3-42-1
Wanicastraat,6,,Missing Data,NG-1994-65-2-2-6
Hof van Justitie,6,,Missing Data,NG-1994-65-3-18-2
Surinameplein,6,,Missing Data,KOG-AA-2-30-758
Nederlands-Indië,5,,Missing Data,RP-F-F01202
Klipsteenstraat,5,,Missing Data,NG-1994-65-1-44-3
Administratie van Financiën,5,,Missing Data,NG-1994-65-3-18-2
Sabakoe,5,,Missing Data,NG-1994-65-5-2-2
Wagenwegstraat,5,,Missing Data,NG-1994-65-5-4-4
Paranam,5,,Missing Data,RP-F-BR-2011-1-187
Plantage Caledonia,5,,Missing Data,NG-2009-128-3-1
Gröningen,5,,Missing Data,NG-2009-128-14-1
Plantage Johanna-Catharina,4,,Missing Data,NG-2009-45-1
Plantage La Liberté,4,,Missing Data,RP-F-F01203-O
Wijk aan Zee,4,,Missing Data,RP-F-F01203-DB
Post Mindrineti,4,,Missing Data,NG-2009-131-4
Gansee,4,,Missing Data,NG-2009-131-53
Barbados,4,,Missing Data,NG-2009-94-32-1
Gros,4,,Missing Data,NG-1994-65-1-11-3
Totness,4,,Missing Data,NG-1994-65-1-28-1
Galibi,4,,Missing Data,NG-1994-65-1-46-1
Hervormde Kerk (Paramaribo),4,,Missing Data,NG-1994-65-3-42-2
Plantage Paradise,4,,Missing Data,NG-1994-65-4-5-2
Synagoge Neve Shalom,4,,Missing Data,RP-F-2009-282-13-1
Kwatta (plantage),4,,Missing Data,RP-F-2009-282-40
Onoribo,4,,Missing Data,RP-F-2009-282-52-1
Plantage Brouwerslust,4,,Missing Data,NG-2015-4-1
Para,4,,Missing Data,NG-2015-4-1
Nieuw-Aurora,4,,Missing Data,NG-2016-53-25
Bijlmer,4,,Missing Data,NG-2011-18-28-25
Slotervaart,4,,Missing Data,KOG-AA-2-31-824
Berg en Dal (Suriname),3,,Missing Data,RP-T-1994-281-13
Plantage Port Victoria,3,,Missing Data,RP-T-1994-281-15(R)
Guyana,3,,Missing Data,NG-501-93
Rijswijk (Zuid-Holland),3,,Missing Data,NG-1979-566-22
Plantage Suzanna's Daal,3,,Missing Data,RP-P-1974-101
Jodenbreestraat (Paramaribo),3,,Missing Data,RP-F-2009-223
Buitenzorg (West-Java),3,,Missing Data,RP-F-F01203-AJ
Medan,3,,Missing Data,RP-F-F01203-AQ
Plantage 't Vertrouwen,3,,Missing Data,RP-F-F01203-BB
Amersfoort,3,,Missing Data,RP-F-F01203-BH
Plantage Alliance,3,,Missing Data,NG-2009-127
Onafhankelijkheidsplein,3,,Missing Data,NG-2010-11
Browns Berg,3,,Missing Data,NG-1994-65-1-32-2
Burenstraat,3,,Missing Data,NG-1994-65-1-50-3
Sommelsdijkse straat,3,,Missing Data,NG-1994-65-2-12-3
Noorderkerkstraat,3,,Missing Data,NG-1994-65-3-42-4
Plantage Waterloo,3,,Missing Data,NG-1994-65-4-10-2
Kwattaweg,3,,Missing Data,NG-1994-65-5-6-3
Frimangron,3,,Missing Data,RP-F-BR-2011-1-1
Bethesda (Suriname),3,,Missing Data,NG-2009-128-23-3
Java,3,,Missing Data,RP-P-OB-89.598
Keizerstraat,3,,Missing Data,NG-2016-50-48
Wolfenbüttel (instelling),3,,Missing Data,NG-2015-4-1-21
Grote Stadskerk,3,,Missing Data,NG-2015-4-1-47
Voorburg (Suriname),2,,Missing Data,RP-F-1994-16-5
Jaarbeurs,2,,Missing Data,NG-1979-565-29
Paleis Noordeinde,2,,Missing Data,NG-1992-19-43
Museumplein,2,,Missing Data,RP-P-1907-3971
Indonesië,2,,Missing Data,RP-P-1911-323
Guinée,2,,Missing Data,RP-P-1911-323
Vergaderzaal Eerste Kamer,2,,Missing Data,NG-2005-19-8
Lembang,2,,Missing Data,RP-F-F01203-AN
Sint-Petrus-en-Pauluskathedraal,2,,Missing Data,NG-2009-130-3
Emmaschool,2,,Missing Data,NG-1994-65-1-44-3
Drambrandersgracht,2,,Missing Data,NG-1994-65-3-2-2
Plantage Geyersvlijt,2,,Missing Data,NG-1994-65-3-46-2
Soldatenstraat,2,,Missing Data,NG-1994-65-4-45-4
Tamarindelaan,2,,Missing Data,RP-F-2009-282-7-1
Plantage Maasstroom,2,,Missing Data,RP-F-2009-282-42-1
Wageningen,2,,Missing Data,NG-2009-126-8-1
Klaaskreek,2,,Missing Data,RP-F-BR-2011-1-154
Brownsweg,2,,Missing Data,RP-F-BR-2011-1-156
Jonas Daniël Meijerplein,2,,Missing Data,RP-F-2013-73-36
Plantage Berg en Dal,2,,Missing Data,NG-2013-22-12
Sarakreek,2,,Missing Data,NG-2016-50-13
Sipaliwini,2,,Missing Data,NG-2017-4
Montreux,2,,Missing Data,NG-2009-124-1-3
Post Leyden,2,,Missing Data,NG-2009-124-18-4
Oranjeplein (Paramaribo),2,,Missing Data,NG-2011-18-28-23
Gouvernements Hotel,2,,Missing Data,NG-2015-4-1-2
Maagdenstraat,2,,Missing Data,NG-2015-4-1-28
Gran Rio,2,,Missing Data,RP-P-2017-7127-392-9
Nieuwe Oranjetuin (begraafplaats),2,,Missing Data,NG-2022-31-32
Corneliskondre,2,,Missing Data,NG-2022-1-10-19
Ganzee,2,,Missing Data,NG-2022-1-12-8
Plantage Cornelis Vriendschap,1,,Missing Data,RP-T-1959-120
Europa,1,,Missing Data,RP-F-F01203
Nice,1,,Missing Data,RP-F-F01204
Biarritz,1,,Missing Data,RP-F-F01204
Donostia-San Sebastián,1,,Missing Data,RP-F-F01204
Lugano,1,,Missing Data,RP-F-F01204
Wiesbaden,1,,Missing Data,RP-F-F01204
Melk,1,,Missing Data,RP-F-F01204
Duitsland,1,,Missing Data,RP-F-F01154
Frankrijk,1,,Missing Data,RP-F-F01154
Noorwegen,1,,Missing Data,RP-F-F01154
Trinidad (Trinidad en Tobago),1,,Missing Data,RP-F-F01154
Haïti,1,,Missing Data,RP-F-F01154
Martinique,1,,Missing Data,RP-F-F01154
Marowgne,1,,Missing Data,RP-T-1994-281-1
kanaal van Wanica,1,,Missing Data,RP-T-1994-281-3
"Plantage Leliëndaal, Hernhutterkerk",1,,Missing Data,RP-T-1994-281-4
Port Victoria,1,,Missing Data,RP-T-1994-281-10
Plantage Picardie,1,,Missing Data,RP-T-1994-281-11
Tigri-holo,1,,Missing Data,RP-T-1994-281-12
europees-locaal kostuum,1,,Missing Data,RP-T-1994-281-19
Plantage Prosperité,1,,Missing Data,RP-T-1994-281-22
Plantage Eelen sluis,1,,Missing Data,RP-T-1994-281-24
Zuid-Amerika,1,,Missing Data,NG-501-93
Peru,1,,Missing Data,NG-501-93
Brazilië,1,,Missing Data,NG-501-93
Venezuela,1,,Missing Data,NG-501-93
Colombia,1,,Missing Data,NG-501-93
Panama,1,,Missing Data,NG-501-93
Ecuador,1,,Missing Data,NG-501-93
Bolivia,1,,Missing Data,NG-501-93
Paraguay,1,,Missing Data,NG-501-93
Indië,1,,Missing Data,NG-1035-A
Grote Markt (Den Haag),1,,Missing Data,NG-1979-566-31
's Lands Plantentuin,1,,Missing Data,RP-F-F01203-AH
Paleis van de Gouverneur-Generaal,1,,Missing Data,RP-F-F01203-AK
San Marcoplein,1,,Missing Data,RP-F-F01203-BQ
Aalsmeer,1,,Missing Data,RP-F-F01203-BS
Eiffeltoren,1,,Missing Data,RP-F-F01203-BT
Funchal,1,,Missing Data,RP-F-F01203-CT
Berlijn,1,,Missing Data,RP-F-F01203-DI
Sankt Moritz,1,,Missing Data,RP-F-F01203-DJ
Saint-Laurent-du-Maroni,1,,Missing Data,NG-2009-127
Koninklijk Instituut voor de Tropen,1,,Missing Data,NG-2009-141-10
Grand Hotel Krasnapolsky,1,,Missing Data,NG-2009-141-11
Plantage Groot-Chatillon,1,,Missing Data,RP-F-2009-282-51
New York,1,,Missing Data,NG-2009-129-26
Djambi,1,,Missing Data,NG-505-121
Plantage Mount Pleasant,1,,Missing Data,RP-F-2010-75
Aruba,1,,Missing Data,NG-1064-10
Bonaire,1,,Missing Data,NG-1064-10
Sint-Maarten,1,,Missing Data,NG-1064-10
Sint-Eustatius,1,,Missing Data,NG-1064-10
Saba,1,,Missing Data,NG-1064-10
Kerkstraat (Paramaribo),1,,Missing Data,NG-2013-22-30
Avondschool voor Handwerkslieden,1,,Missing Data,NG-2015-4-12
Stoelmanstraat,1,,Missing Data,NG-2016-50-25
Combékerk,1,,Missing Data,NG-2016-50-43
Maripaston,1,,Missing Data,NG-2016-50-58
Fort Nieuw-Amsterdam,1,,Missing Data,NG-2016-50-61
Daome,1,,Missing Data,NG-2016-53-29
Montevideo,1,,Missing Data,RP-F-F01204-47-1
Meiringen,1,,Missing Data,NG-2009-124-3-2
Rosakerk,1,,Missing Data,NG-2011-18-28-15
Slootwijk,1,,Missing Data,NG-2011-18-28-62
Bigi Poika,1,,Missing Data,NG-2011-18-28-71
Plantage Wolfenbuttel,1,,Missing Data,NG-2015-4-1-21
"Surinaamsche Bank, De",1,,Missing Data,NG-2015-4-1-26
Steenbakkerstraat,1,,Missing Data,NG-2015-4-1-36
Chinese Sociëteit,1,,Missing Data,NG-2015-4-1-36
Klooster De Voorzienigheid,1,,Missing Data,NG-2015-4-1-37
Willemschool,1,,Missing Data,NG-2015-4-1-38
Bouwdepartement,1,,Missing Data,NG-2015-4-1-42
Domburg (Suriname),1,,Missing Data,NG-2015-4-1-57
Steenbakkersgracht,1,,Missing Data,NG-2015-4-1-48
Ghana,1,,Missing Data,RP-P-2018-3145
Saint-Jean-du-Maroni,1,,Missing Data,NG-2019-193-3
Zanderij,1,,Missing Data,RP-F-00-11994-05
Statengebouw,1,,Missing Data,NG-2022-6
Marienburg,1,,Missing Data,RP-F-2022-73-33
Ferdinand Bolstraat,1,,Missing Data,RP-F-2019-298-43-92
Kostverlorenvaart,1,,Missing Data,KOG-AA-2-30-758
Blaka Watra,1,,Missing Data,NG-2022-1-2-2220
Berbice,1,,Missing Data,KOG-ZG-1-11-135
Demerary,1,,Missing Data,KOG-ZG-1-11-135
Groot-Marseille,1,,Missing Data,NG-2022-1-10-21
Pierrekondre,1,,Missing Data,NG-2022-1-11-11
Langatabbetje,1,,Missing Data,NG-2022-1-12-2
Meerzorg,1,,Missing Data,NG-2022-1-12-23
Huis Du Plessis,1,,Missing Data,NG-2025-20-2
Presidentieel Paleis,1,,Missing Data,NG-2025-20-4
Maarten Lutherkerk (Paramaribo),1,,Missing Data,NG-2025-20-12
Saint-Pierre (Martinique),1,,Missing Data,NG-2022-31-39
Havana,1,,Missing Data,NG-2022-31-39
Cuba,1,,Missing Data,NG-2022-31-39